"Afganistanas","Kabulas"
"Seišeliai","Viktorija"
"Senegalas","Dakaras"
"Sent Kitsas ir Nevis","Basteras"
"Sent Lusija","Kastris"
"Sent Vinsentas ir Grenadinai","Kingstaunas"
"Serbija","Belgradas"
"Siera Leonė","Fritaunas"
"Singapūras","Singapūras"
"Sirija","Damaskas"
"Slovakija","Bratislava"
"Slovėnija","Liubliana"
"Somalis","Mogadišas"
"Sudanas","Chartumas"
"Suomija","Helsinkis"
"Surinamas","Paramaribas"
"Šiaurės Korėja","Pchenjanas"
"Šri Lanka","Šri Džajavardanapura Kotė"
"Švedija","Stokholmas"
"Šveicarija","Bernas"
"Tailandas","Bankokas"
"Tanzanija","Dodoma / Dar es Salamas"
"Togas","Lomė"
"Tonga","Nukualofa"
"Trinidadas ir Tobagas","Port of Speinas"
"Tunisas","Tunisas"
"Turkija","Ankara"
"Turkmėnistanas","Ašchabadas"
"Tuvalu","Funafutis"
"Uganda","Kampala"
"Ukraina","Kyjevas"
"Urugvajus","Montevidėjas"
"Uzbekistanas","Taškentas"
"Vanuatu","Port Vila"
"Venesuela","Karakasas"
"Vengrija","Budapeštas"
"Vietnamas","Hanojus"
"Vokietija","Berlynas"
"Zambija","Lusaka"
"Zimbabvė","Hararė"
"Žaliasis Kyšulys","Praja"
